username,following,followers,likes,video_views,video_link,scrap_date,scrap_time
fernandassep,156,79600,4000000,3484.0,https://www.tiktok.com/@fernandassep/video/7081465147977501995,2022-04-01,00:47:16.109838
fernandassep,156,79600,4000000,7108.0,https://www.tiktok.com/@fernandassep/video/7081439521136594219,2022-04-01,00:47:16.180677
fernandassep,156,79600,4000000,12000.0,https://www.tiktok.com/@fernandassep/video/7081400166342954286,2022-04-01,00:47:16.216827
fernandassep,156,79600,4000000,13300.0,https://www.tiktok.com/@fernandassep/video/7081359845953211694,2022-04-01,00:47:16.253168
fernandassep,156,79600,4000000,15400.0,https://www.tiktok.com/@fernandassep/video/7081083177678458158,2022-04-01,00:47:16.286756
fernandassep,156,79600,4000000,14200.0,https://www.tiktok.com/@fernandassep/video/7081064036023962923,2022-04-01,00:47:16.325709
fernandassep,156,79600,4000000,8027.0,https://www.tiktok.com/@fernandassep/video/7081006129383214379,2022-04-01,00:47:16.363903
fernandassep,156,79600,4000000,7799.0,https://www.tiktok.com/@fernandassep/video/7080985663385980206,2022-04-01,00:47:16.399269
fernandassep,156,79600,4000000,8489.0,https://www.tiktok.com/@fernandassep/video/7080949745094642986,2022-04-01,00:47:16.435231
fernandassep,156,79600,4000000,11400.0,https://www.tiktok.com/@fernandassep/video/7080736098489601322,2022-04-01,00:47:16.473432
fernandassep,156,79600,4000000,14500.0,https://www.tiktok.com/@fernandassep/video/7080619860228721966,2022-04-01,00:47:16.513427
fernandassep,156,79600,4000000,10600.0,https://www.tiktok.com/@fernandassep/video/7080603723625450795,2022-04-01,00:47:16.558959
fernandassep,156,79600,4000000,19300.0,https://www.tiktok.com/@fernandassep/video/7080595445591985451,2022-04-01,00:47:16.611891
fernandassep,156,79600,4000000,16500.0,https://www.tiktok.com/@fernandassep/video/7080283145769176366,2022-04-01,00:47:16.713485
fernandassep,156,79600,4000000,33000.0,https://www.tiktok.com/@fernandassep/video/7080274903223569706,2022-04-01,00:47:16.756875
fernandassep,156,79600,4000000,28000.0,https://www.tiktok.com/@fernandassep/video/7080206613113474350,2022-04-01,00:47:16.794524
fernandassep,156,79600,4000000,15900.0,https://www.tiktok.com/@fernandassep/video/7080015726068714794,2022-04-01,00:47:16.832921
fernandassep,156,79600,4000000,14400.0,https://www.tiktok.com/@fernandassep/video/7079999756482907438,2022-04-01,00:47:16.870707
fernandassep,156,79600,4000000,41000.0,https://www.tiktok.com/@fernandassep/video/7079904360683064618,2022-04-01,00:47:16.906996
fernandassep,156,79600,4000000,28200.0,https://www.tiktok.com/@fernandassep/video/7079626161734634795,2022-04-01,00:47:16.941576
fernandassep,156,79600,4000000,18200.0,https://www.tiktok.com/@fernandassep/video/7079613997321882926,2022-04-01,00:47:16.978744
fernandassep,156,79600,4000000,59900.0,https://www.tiktok.com/@fernandassep/video/7079512560441101610,2022-04-01,00:47:17.013900
fernandassep,156,79600,4000000,13000.0,https://www.tiktok.com/@fernandassep/video/7079245742971309358,2022-04-01,00:47:17.048768
fernandassep,156,79600,4000000,15200.0,https://www.tiktok.com/@fernandassep/video/7079213069326667054,2022-04-01,00:47:17.087062
fernandassep,156,79600,4000000,46000.0,https://www.tiktok.com/@fernandassep/video/7079124518077369646,2022-04-01,00:47:17.123100
fernandassep,156,79600,4000000,20700.0,https://www.tiktok.com/@fernandassep/video/7078856918806138158,2022-04-01,00:47:17.157581
fernandassep,156,79600,4000000,98900.0,https://www.tiktok.com/@fernandassep/video/7078759483228359979,2022-04-01,00:47:17.198049
fernandassep,156,79600,4000000,40800.0,https://www.tiktok.com/@fernandassep/video/7078498502032231726,2022-04-01,00:47:17.239542
fernandassep,156,79600,4000000,90400.0,https://www.tiktok.com/@fernandassep/video/7078488850414243118,2022-04-01,00:47:17.275233
fernandassep,156,79600,4000000,29100.0,https://www.tiktok.com/@fernandassep/video/7078399503086193966,2022-04-01,00:47:17.313084
fernandassep,156,79600,4000000,103800.0,https://www.tiktok.com/@fernandassep/video/7078301364182437163,2022-04-01,00:47:17.357907
fernandassep,156,79600,4000000,43100.0,https://www.tiktok.com/@fernandassep/video/7078124969330347310,2022-04-01,00:47:17.400861
fernandassep,156,79600,4000000,17600.0,https://www.tiktok.com/@fernandassep/video/7078101126125489451,2022-04-01,00:47:17.441977
fernandassep,156,79600,4000000,48600.0,https://www.tiktok.com/@fernandassep/video/7078085987842346286,2022-04-01,00:47:17.479185
fernandassep,156,79600,4000000,25200.0,https://www.tiktok.com/@fernandassep/video/7077987348075760942,2022-04-01,00:47:17.514861
