username,following,followers,likes,video_views,video_link,scrap_date,scrap_time,video_description,video_likes,video_comments,video_shares
fernandassep,156,79600,4000000,14400.0,https://www.tiktok.com/@fernandassep/video/7079999756482907438,2022-04-01,00:47:16.870707,"'Volviendo a la realidad, tenemos que comprar comida 😩🥴 #minivlog #vlogdeldia #mamalatina #latinasenusa #momlife #undiaconmigo #mamasdetiktok #vlogdemama #vidademama #rutinaencasa #rutinadiaria'",1195,32,0
fernandassep,156,79600,4000000,41000.0,https://www.tiktok.com/@fernandassep/video/7079904360683064618,2022-04-01,00:47:16.906996,'Cinco cansadísimos días y de regreso a casita 🥰 #minivlog #vlogdeldia #mamalatina #latinasenusa #vacaciones #momlife #undiaconmigo #volvemosacasa #mamasdetiktok #vlogdemama #esposasdetiktok',3526,12,0
fernandassep,156,79600,4000000,28200.0,https://www.tiktok.com/@fernandassep/video/7079626161734634795,2022-04-01,00:47:16.941576,'Cerramos con lo mejor de Disneyworld✨ Dejen su comentario y el que tenga mas likes le mando el regalito🥰 #minivlog #vlogdeldia #mamalatina #latinasenusa #sueñoscumplidos #vacaciones #disneyworld #momlife #magickindom #undiaconmigo #viajarconbebes #viajestiktok #vidademama #nosvamosdeviaje',2503,68,3
fernandassep,156,79600,4000000,18200.0,https://www.tiktok.com/@fernandassep/video/7079613997321882926,2022-04-01,00:47:16.978744,'El comentario con mas likes del siguiente video se lleva el regalito que les compré ✨🥰 #minivlog #vlogdeldia #mamalatina #latinasenusa #sueñoscumplidos #vacaciones #disneyworld #momlife #magickindom',1146,25,1
fernandassep,156,79600,4000000,59900.0,https://www.tiktok.com/@fernandassep/video/7079512560441101610,2022-04-01,00:47:17.013900,'Cuál fue tu experiencia en Disney? Nos quedamos al final para disfrutar la tarde? #minivlog #vlogdeldia #mamalatina #latinasenusa #sueñoscumplidos #undiaconmigo #vacaciones #disneyworld #magickingdom #viajarconbebes #viajestiktok #momlife',4396,24,3
fernandassep,156,79600,4000000,13000.0,https://www.tiktok.com/@fernandassep/video/7079245742971309358,2022-04-01,00:47:17.048768,'Estoy cansadísima pero aún así les hice videito 🥺🥰 No lo dejen morir #minivlog #vlogdeldia #mamalatina #latinasenusa #sueñoscumplidos #undiaconmigo #undiaenmivida #viajarconbebes #universalstudios #harrypotter #momlife',1075,20,16
fernandassep,156,79600,4000000,15200.0,https://www.tiktok.com/@fernandassep/video/7079213069326667054,2022-04-01,00:47:17.087062,'En la plataforma 9 3/4 no hay buena señal. Por eso no se escucha bien 🥰✨ #minivlog #vlogdeldia #mamalatina #latinasenusa #sueñoscumplidos #undiaconmigo #undiaenmivida #viajarconbebes #universalstudios #viajestiktok #vidademama #nosvamosdeviaje',1164,11,5
fernandassep,156,79600,4000000,46000.0,https://www.tiktok.com/@fernandassep/video/7079124518077369646,2022-04-01,00:47:17.123100,'Primera vez en este parque 🤩 #minivlog #vlogdeldia #mamalatina #latinasenusa #sueñoscumplidos #momlife #undiaconmigo #undiaenmivida #viajarconbebes #nosvamosdeviaje #universalstudios',3687,32,18
fernandassep,156,79600,4000000,20700.0,https://www.tiktok.com/@fernandassep/video/7078856918806138158,2022-04-01,00:47:17.157581,'A descansar porque mañana toca Universal Studios 🥰✨ #minivlog #vlogdeldia #mamalatina #latinasenusa #sueñoscumplidos #disneyworld #momlife #undiaconmigo #undiaenmivida #viajarconbebes #viajestiktok',1560,28,6
fernandassep,156,79600,4000000,98900.0,https://www.tiktok.com/@fernandassep/video/7078759483228359979,2022-04-01,00:47:17.198049,'Dia 2 ✨ #minivlog #vlogdeldia #mamalatina #latinasenusa #vidademama #sueñoscumplidos #bebesdetiktok #disneyworld #momlife #undiaenmivida #undiaconmigo #viajarconbebes #viajestiktok #vidademama',7611,75,36
fernandassep,156,79600,4000000,40800.0,https://www.tiktok.com/@fernandassep/video/7078498502032231726,2022-04-01,00:47:17.239542,'Los sueños se vuelven realidad ✨ Gracias a mi esposo por consentirnos🥰 #mamalatina #latinasenusa #vidademama #maternidad #sueñoscumplidos #bebesdetiktok #disneyworld #thisiswhatdreamsaremadeof',3572,35,33
fernandassep,156,79600,4000000,90400.0,https://www.tiktok.com/@fernandassep/video/7078488850414243118,2022-04-01,00:47:17.275233,'Mañana nos espera un día completo en Animal Kindom✨ #minivlog #vlogdeldia #momlife #mamalatina #undiaenmivida #nosvamosdeviaje #viajestiktok #mamasdetiktok #disneyworld #undiaconmigo #vidademama',6160,45,33
fernandassep,156,79600,4000000,29100.0,https://www.tiktok.com/@fernandassep/video/7078399503086193966,2022-04-01,00:47:17.313084,"'Reply to @marissahernande41 Dormimos, nos bañamos y volvemos al show de luces✨ #minivlog #vlogdeldia #momlife #mamalatina #undiaenmivida #nosvamosdeviaje #latinasenusa #disneyworld #viajarconbebes #mamasdetiktok'",2472,35,8
